bank,證券商名稱,開業日,地址,電話
1020,合庫,,,
1021,合庫台中,,,
1022,合庫台南,,,
1023,合庫高雄,,,
1024,合庫嘉義,,,
1025,合庫基隆,,,
1028,合庫彰化,,,
1029,合庫鳳山,,,
102A,合庫新竹,,,
102C,合庫自強,,,
102E,合庫桃園,,,
102F,合庫西台中,,,
102G,合庫三重,,,
102T,合庫自營,,,
1030,土銀,,,
1031,土銀台中,,,
1032,土銀台南,,,
1033,土銀高雄,,,
1034,土銀嘉義,,,
1035,土銀新竹,,,
1036,土銀玉里,,,
1037,土銀花蓮,,,
1038,土銀和平,,,
1039,土銀士林,,,
103A,土銀建國,,,
103B,土銀彰化,,,
103C,土銀白河,,,
103F,土銀南港,,,
1040,臺銀證券,,,
1041,臺銀鳳山,,,
1042,臺銀臺南,,,
1043,臺銀民權,,,
1045,臺銀新竹,,,
104A,臺銀臺中,,,
104C,臺銀高雄,,,
104D,臺銀金山,,,
104T,臺銀自營,,,
1110,台企銀,,,
1111,台企銀台中,,,
1112,台企銀台南,,,
1113,台企銀九如,,,
1114,台企銀嘉義,,,
1115,台企銀太平,,,
1116,台企銀屏東,,,
1117,台企銀竹北,,,
1118,台企銀豐原,,,
1119,台企銀岡山,,,
111A,台企銀民雄,,,
111B,台企銀建成,,,
111C,台企銀三民,,,
111E,台企銀桃園,,,
111F,台企北高雄,,,
111G,臺企銀埔墘,,,
1160,日盛,,,
1161,日盛忠孝,,,
1162,日盛台南,,,
1163,日盛台中,,,
1164,日盛內湖,,,
1165,日盛板橋,,,
1166,日盛雙和,,,
1167,日盛嘉義,,,
1168,日盛高雄,,,
1169,日盛士林,,,
116A,日盛木柵,,,
116B,日盛中壢,,,
116C,日盛八德,,,
116E,日盛三重,,,
116F,日盛員林,,,
116G,日盛景美,,,
116H,日盛新竹,,,
116I,日盛南京,,,
116J,日盛板中,,,
116K,日盛花蓮,,,
116L,日盛大墩,,,
116M,日盛屏東,,,
116N,日盛永康,,,
116P,日盛信義,,,
116Q,日盛二林,,,
116S,日盛新莊,,,
116U,日盛桃園,,,
116V,日盛斗六,,,
116W,日盛鳳山,,,
116X,日盛宜蘭,,,
116Z,日盛中和,,,
116b,日盛園區,,,
